Security Code,Issuer Name,Coupon (%),Maturity Date,LTP,Weighted Average Price,Weighted Average Yield,Turnover (Rs. Lakh),ISIN No.,Face Value
795RECL27,RURAL ELECTRIFICATION CORPORATION LIMITED ,7.9500,12/03/2027,107.3500,107.3500,6.4000,2000.00,INE020B08AH8,1000000.00
830RECL25,RURAL ELECTRIFICATION CORPORATION LTD,8.3000,10/04/2025,109.1700,108.6400,5.7800,2000.00,INE020B08930,1000000.00
MF16MAR21,MUTHOOT FINCORP LIMITED,0.0000,16/03/2024,100.8500,100.8500,8.9000,2000.00,INE549K07AF3,1000000.00
975UPCL27,U.P. POWER CORPORATION LIMITED,9.7500,20/10/2027,104.4000,103.8400,9.2200,1860.00,INE540P07269,1000000.00
885PFCL29,POWER FINANCE CORPORATION LTD.,8.8500,25/05/2029,112.0600,112.0600,6.8500,1500.00,INE134E08KC1,1000000.00
683HDFC31,HOUSING DEVELOPMENT FINANCE CORPORATION LTD,6.8300,08/01/2031,99.8600,99.8600,6.8400,1500.00,INE001A07SW3,1000000.00
860JFCSL33,,8.6000,25/03/2033,100.0000,100.0100,8.6000,1410.00,INE651J07820,1000000.00
956SBI23PERP,STATE BANK OF INDIA,9.5600,31/12/9999,105.3300,104.9500,7.3600,1300.00,INE062A08173,1000000.00
899BOBPERP,BANK OF BARODA,8.9900,31/12/9999,104.2000,102.3600,8.1700,1220.00,INE028A08182,1000000.00
EELK0K705A,ECAP EQUITIES LIMITED,0.0000,31/05/2021,132.5800,132.6300,0.8600,1068.00,INE572O07BI9,100000.00
875SBIPERP,STATE BANK OF INDIA,8.7500,30/08/2024,103.3900,103.3900,7.5300,1010.00,INE062A08215,1000000.00
950NIRMA2077,NIRMA LIMITED,9.5000,06/07/2022,99.8300,99.8300,9.6000,1000.00,INE091A08149,1000000.00
830RIL22,RELIANCE INDUSTRIES LIMITED,8.3000,08/03/2022,103.5700,103.5700,3.9000,1000.00,INE002A08575,1000000.00
823IRFCL2024,INDIAN RAILWAY FINANCE CORPORATION LIMITED,8.2300,18/02/2024,110.8600,110.8600,4.0500,1000.00,INE053F07652,1000.00
880EXIM23,EXPORT IMPORT BANK OF INDIA,8.8000,15/03/2023,107.3500,107.3500,4.5800,1000.00,INE514E08CI8,1000000.00
885HEROFIN2030,HERO FINCORP LIMITED,8.8500,05/02/2030,106.7200,106.7200,8.3000,980.00,INE957N08052,1000000.00
00MFSL23,,0.0000,30/03/2023,100.7900,100.7900,8.8000,900.00,INE348L07076,100000.00
1375SOUTHINDBNK,THE SOUTH INDIAN BANK LTD.,13.7500,31/12/9999,99.2000,99.9100,13.7100,833.00,INE683A08051,100000.00
864UBIPERP,UNION BANK OF INDIA ,8.6400,31/12/9999,98.0200,98.1300,9.1200,800.00,INE692A08128,10000000.00
00RVIPL22,REDDY VEERANNA INVESTMENTS PRIVATE LIMITED,0.0000,30/09/2022,140.9000,140.9000,15.5000,745.27,INE0AXE07045,376400.00
885RECAPR29,REC LIMITED,8.8500,16/04/2029,111.9500,111.9500,6.8400,600.00,INE020B08BQ7,1000000.00
