Security_cd,sc_name,Open Price,High Price,Low Price,Close Price,Total Traded Volume,Number of Trades ,Total Turnover,ISIN No.,FACE VALUE,COUP0N (%),Maturity Date
961758,704IRFC2028 ,1180.00,1180.00,1180.00,1180.00,15.00,2,17700.00,INE053F07595,1000.00,7.04                     ,
937385,715PFCL36   ,1040.00,1041.99,1036.55,1037.00,9880.00,34,10258206.00,INE134E07AT8,1000.00,7.15                     ,
961752,719IIFCL23  ,1060.00,1060.00,1060.00,1060.00,24.00,1,25440.00,INE787H07131,1000.00,7.19                     ,
935688,729NABARD26 ,1143.80,1143.80,1120.00,1120.00,1003.00,7,1123431.00,INE261F07024,1000.00,7.29                     ,
961764,734HUDCO23  ,1065.00,1065.00,1065.00,1065.00,20.00,1,21300.00,INE031A07857,1000.00,7.34                     ,
935686,735NABARD31 ,1222.67,1230.00,1222.67,1230.00,50010.00,4,61145800.00,INE261F07057,1000.00,7.35                     ,
961906,736NTPC25D  ,1153.00,1153.00,1153.00,1153.00,15.00,1,17295.00,INE733E07JU6,1000.00,7.36                     ,
935580,739NHAI26   ,1133.00,1133.00,1133.00,1133.00,5.00,1,5665.00,INE906B07EH2,1000.00,7.39                     ,
935576,750IRFC35   ,1322.10,1364.90,1322.10,1364.90,2.00,2,2687.00,INE053F07843,1000.00,7.50                     ,
935510,752PFC30    ,1232.26,1232.51,1232.26,1232.51,43.00,2,52997.00,INE134E07562,1000.00,7.52                     ,
935642,764HUDCO31  ,1239.70,1239.70,1239.70,1239.70,50.00,1,61985.00,INE031A07AO5,1000.00,7.64                     ,
935690,764NABARD31 ,1245.00,1245.00,1241.50,1241.50,650.00,6,808925.00,INE261F07032,1000.00,7.64                     ,
935666,769NHAI31   ,1265.00,1277.00,1265.00,1271.05,15.00,5,19121.00,INE906B07EP5,1000.00,7.69                     ,
961743,793REC22    ,1114.00,1114.00,1102.00,1102.00,104.00,2,115316.00,INE020B07GG9,1000.00,7.93                     ,
936044,800MMFSL27  ,1010.06,1050.00,1010.05,1040.00,971.00,8,1011883.00,INE774D08MK5,1000.00,8.00                     ,
961732,810IRFC2327 ,1257.00,1257.00,1257.00,1257.00,200.00,3,251400.00,INE053F07538,1000.00,8.10                     ,
961727,820NHAI22   ,1077.00,1077.00,1077.00,1077.00,50.00,1,53850.00,INE906B07CA1,1000.00,8.20                     ,
961729,820PFC2022  ,1077.00,1077.00,1077.00,1077.00,500.00,2,538500.00,INE134E07190,1000.00,8.20                     ,
937403,825MFL23    ,962.08,970.00,945.00,965.00,534.00,19,513475.00,INE549K07923,1000.00,8.25                     ,
972848,826IIFCL28A ,1297300.85,1297300.85,1297300.85,1297300.85,4.00,1,5189203.00,INE787H07198,1000000.00,8.26                     ,
961778,826REC23    ,1119.95,1119.95,1119.95,1119.95,25.00,1,27998.00,INE020B07HR4,1000.00,8.26                     ,
937013,829LTFL24   ,1070.00,1071.00,1070.00,1070.00,100.00,5,107011.00,INE027E07BA2,1000.00,8.29                     ,
