SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
531979,HIND ALUMIN ,X ,Q,33.15,35.00,33.05,33.90,33.80,33.15,55,5799,195548.00,,INE227B01019,01-Apr-21,,
531982,SPECTR FOOD ,XT,Q,12.15,12.15,12.15,12.15,12.15,12.77,2,75,911.00,,INE547C01018,01-Apr-21,,
531991,AMRAWOR AGRI,XT,Q,0.65,0.65,0.65,0.65,0.65,0.65,6,5150,3347.00,,INE735C01027,01-Apr-21,,
531996,ODYSSEY CORP,X ,Q,1.38,1.39,1.37,1.39,1.39,1.40,10,4823,6682.00,,INE839E01023,01-Apr-21,,
532005,SAM INDUS.  ,X ,Q,13.97,13.97,13.97,13.97,13.97,13.31,1,800,11176.00,,INE653D01012,01-Apr-21,,
532007,SHREEVAT.FIN,XT,Q,4.35,4.35,4.35,4.35,4.35,4.35,1,59,256.00,,INE981C01019,01-Apr-21,,
532011,POOJA ENT   ,XT,Q,64.65,64.65,62.50,62.65,64.50,63.50,41,2018,129167.00,,INE147C01017,01-Apr-21,,
532015,GRAVITY (I) ,XT,Q,2.05,2.08,1.98,2.07,2.08,2.08,22,8119,16504.00,,INE995A01013,01-Apr-21,,
532019,LCC INFOTECH,T ,Q,5.11,5.11,5.11,5.11,5.11,5.37,18,13285,67886.00,,INE938A01021,01-Apr-21,,
532022,FILAT FASH  ,XT,Q,2.30,2.53,2.30,2.31,2.31,2.41,8,3323,8061.00,,INE185E01013,01-Apr-21,,
532024,R.B. GUPTA  ,P ,Q,5.85,5.85,5.85,5.85,5.85,5.58,1,100,585.00,,INE056J01015,01-Apr-21,,
532033,JAIN STUDIOS,Z ,Q,1.61,1.61,1.54,1.54,1.54,1.56,3,350,560.00,,INE486B01011,01-Apr-21,,
532035,UNISTAR MULT,XT,Q,3.38,3.38,3.15,3.15,3.15,3.22,2,2200,7275.00,,INE808C01014,01-Apr-21,,
532039,ZENOTECH    ,XT,Q,35.50,36.75,35.35,35.85,35.85,35.00,49,14322,513627.00,,INE486F01012,01-Apr-21,,
532041,HINDUSTN BIO,X ,Q,3.06,3.06,2.99,2.99,2.99,3.00,13,3188,9647.00,,INE597C01013,01-Apr-21,,
532051,SWELECT     ,B ,Q,202.50,207.00,199.90,204.25,205.50,201.10,57,1615,326172.00,,INE409B01013,01-Apr-21,,
532053,WALLFORT FIN,X ,Q,33.95,33.95,33.00,33.90,33.90,33.85,7,54,1827.00,,INE121B01014,01-Apr-21,,
532054,KDDL LTD    ,B ,Q,262.00,274.20,261.00,268.80,268.80,263.00,37,878,230183.00,,INE291D01011,01-Apr-21,,
532067,KILPEST (I) ,X ,Q,285.70,294.40,285.10,292.65,290.05,284.70,291,8355,2412666.00,,INE994E01018,01-Apr-21,,
532070,SUPERB PAPER,X ,Q,10.65,10.75,9.71,10.32,10.32,10.47,55,59265,609045.00,,INE311N01016,01-Apr-21,,
532090,VANDANA     ,XT,Q,0.36,0.36,0.36,0.36,0.36,0.37,5,42250,15210.00,,INE219M01021,01-Apr-21,,
532092,SAGARPROD   ,X ,Q,5.00,5.18,4.75,5.15,5.18,4.97,58,37441,187155.00,,INE807D01030,01-Apr-21,,
532097,MUKAND ENGG.,B ,Q,17.30,17.75,16.65,17.75,17.75,16.15,119,33383,588032.00,,INE022B01014,01-Apr-21,,
532102,SBEC SUGAR  ,X ,Q,6.00,6.00,6.00,6.00,6.00,6.00,4,155,930.00,,INE948G01019,01-Apr-21,,
532113,BRIJLAXMI LE,X ,Q,2.63,2.63,2.63,2.63,2.63,2.63,3,250,657.00,,INE957E01031,01-Apr-21,,
532114,AREALTY     ,XT,Q,3.29,3.29,3.29,3.29,3.29,3.35,3,21,69.00,,INE646D01024,01-Apr-21,,
532123,BSE  INFRA  ,B ,Q,0.93,0.93,0.91,0.91,0.91,0.89,17,17379,15934.00,,INE395A01016,01-Apr-21,,
532124,RELIAB VEN  ,X ,Q,7.69,7.69,7.69,7.69,7.69,7.33,1,10,76.00,,INE419H01019,01-Apr-21,,
