SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
532923,RGL         ,B ,Q,395.80,401.00,387.00,394.30,394.30,391.10,447,3242,1280501.00,,INE722H01016,03-May-21,,
532924,KOLTEPATIL  ,A ,Q,213.15,213.25,207.00,209.00,208.20,211.25,459,6764,1419735.00,,INE094I01018,03-May-21,,
532925,KAUSHAL INFR,B ,Q,1.21,1.33,1.21,1.33,1.33,1.27,7,1600,2008.00,,INE234I01010,03-May-21,,
532926,JYOTHYLAB   ,A ,Q,148.55,148.55,143.45,144.50,144.50,146.15,553,16924,2452681.00,,INE668F01031,03-May-21,,
532927,ECLERX      ,A ,Q,1252.00,1273.70,1241.10,1266.45,1265.25,1244.75,362,3656,4603538.00,,INE738I01010,03-May-21,,
532928,TRIL        ,B ,Q,19.20,19.25,18.60,19.00,19.00,19.30,65,13354,253527.00,,INE763I01026,03-May-21,,
532929,BRIGADE     ,A ,Q,246.30,254.60,246.30,250.00,250.00,250.65,192,4634,1160304.00,,INE791I01019,03-May-21,,
532930,BGR ENERGY  ,B ,Q,45.65,47.20,45.55,46.70,46.70,45.50,420,19212,896507.00,,INE661I01014,03-May-21,,
532931,BURNPUR     ,B ,Q,2.60,2.63,2.50,2.63,2.63,2.51,73,77172,202046.00,,INE817H01014,03-May-21,,
532932,MANAKSIA LTD,B ,Q,57.95,59.40,55.60,57.10,57.70,56.30,430,20144,1152019.00,,INE015D01022,03-May-21,,
532933,PORWAL AUTO ,X ,Q,18.50,18.50,17.30,17.60,17.65,17.85,16,1732,30256.00,,INE386I01018,03-May-21,,
532934,PPAP        ,B ,Q,185.30,196.80,181.65,195.70,195.70,191.00,564,9322,1783410.00,,INE095I01015,03-May-21,,
532935,ARIES AGRO  ,B ,Q,89.55,97.40,86.70,96.05,96.20,89.55,514,25812,2442918.00,,INE298I01015,03-May-21,,
532937,KUANTUM     ,B ,Q,64.35,64.45,60.85,62.90,62.90,64.40,142,8440,527970.00,,INE529I01021,03-May-21,,
532939,RPOWER      ,A ,Q,4.81,5.32,4.76,5.32,5.32,4.84,7343,32728246,169160481.00,,INE614G01033,03-May-21,,
532940,J KUMAR INFR,A ,Q,183.00,183.00,178.50,179.45,179.35,182.85,641,22079,3996967.00,,INE576I01022,03-May-21,,
532941,CORDS CABLE ,B ,Q,40.30,41.55,40.30,41.25,40.70,40.60,741,13100,535784.00,,INE792I01017,03-May-21,,
532942,KNR CONST   ,A ,Q,203.00,203.00,195.90,197.40,197.10,200.05,279,12139,2397681.00,,INE634I01029,03-May-21,,
532944,ONMOBILE    ,B ,Q,104.00,111.50,104.00,109.50,109.50,106.20,2440,183430,20134430.00,,INE809I01019,03-May-21,,
532945,SHRIRAM EPC ,B ,Q,3.90,4.55,3.86,4.32,4.34,4.00,199,177123,744265.00,,INE964H01014,03-May-21,,
532946,BANG        ,B ,Q,29.50,29.50,27.00,27.45,27.40,27.15,33,4757,133040.00,,INE863I01016,03-May-21,,
532947,IRB INFRA   ,A ,Q,104.00,105.60,102.95,105.00,105.25,104.50,300,9308,974655.00,,INE821I01014,03-May-21,,
532951,GSS INFOTECH,B ,Q,69.90,76.30,69.00,71.50,71.50,67.60,1255,73611,5395123.00,,INE871H01011,03-May-21,,
532952,NAHAR CAP   ,B ,Q,98.90,105.95,98.00,103.70,101.55,100.10,113,5416,547252.00,,INE049I01012,03-May-21,,
532953,V GUARD IND ,A ,Q,222.50,225.00,220.85,223.30,225.00,223.45,768,18762,4172329.00,,INE951I01027,03-May-21,,
532955,RECLTD      ,A ,Q,128.10,129.05,126.20,127.35,127.35,128.30,1690,159822,20422143.00,,INE020B01018,03-May-21,,
532959,GAMMON INFRA,B ,Q,0.71,0.72,0.71,0.71,0.72,0.71,482,288349,206044.00,,INE181G01025,03-May-21,,
532960,DHANI       ,B ,Q,179.45,179.65,173.00,173.80,173.80,175.90,825,32935,5805006.00,,INE274G01010,03-May-21,,
532966,TITAGARH WAG,A ,Q,47.10,47.70,46.30,46.45,46.40,47.05,687,38137,1790724.00,,INE615H01020,03-May-21,,
532967,KIRI DYES   ,A ,Q,450.95,463.95,448.00,453.85,456.35,444.00,449,6245,2851287.00,,INE415I01015,03-May-21,,
532972,SANKHYA INFO,XT,Q,3.04,3.04,2.89,2.90,2.90,3.04,57,42341,122651.00,,INE877A01013,03-May-21,,
532974,ABML        ,B ,Q,40.00,41.30,39.65,40.00,40.35,40.00,235,8685,347882.00,,INE865C01022,03-May-21,,
532975,AISHWARYA   ,Z ,Q,1.59,1.61,1.59,1.61,1.61,1.54,17,10100,16254.00,,INE778I01024,03-May-21,,
